,target,correlation,correlation_ceiling,n_signif_union,n_signif_1,n_signif_2,culture_condition
0,A2M,-0.46608618323431156,,10,0,10,Rest
1,ABCC1,0.08448001206115319,,84,84,1,Rest
2,ABHD12,0.4907601787149974,0.6285015193471538,360,1,360,Rest
3,ABHD13,-0.3015267537752877,0.5279953418008129,507,506,3,Rest
4,ABHD14A,0.9587949619448305,0.9432892604608929,5,1,5,Rest
5,ACAD11,0.6160282278807707,0.8909767685274019,197,65,150,Rest
6,ACTB,0.4992799437666621,0.8347147209493324,57,49,16,Rest
7,ACTR2,0.39531911183133994,0.9460228754751674,6,2,5,Rest
8,ACTR3,0.9374145132543975,0.7835367091800154,5,1,5,Rest
9,ACTR5,0.31962995815279793,0.9102249817681941,50,30,34,Rest
10,ADAM19,0.4081841789125034,0.823363200698077,136,132,5,Rest
11,ADAT2,0.3824557465863364,0.5282548807238923,173,172,5,Rest
12,ADAT3,0.8515012782998695,0.8842581769478863,197,171,27,Rest
13,ADNP2,0.8433994341580927,0.9638920120638556,13,10,7,Rest
14,AGRN,-0.18437969461354248,0.9180505830555968,40,23,17,Rest
15,AHR,0.873622614602888,0.8778715411927815,918,885,142,Rest
16,AHSA1,0.9588669586564998,0.8614627798038579,3,3,1,Rest
17,AIFM1,0.44714048008063634,0.8882295274246155,13,6,9,Rest
18,AIP,0.6071771170666918,0.9076484538776596,31,5,27,Rest
19,AK9,0.9915035527949874,0.943520270777471,4,2,3,Rest
20,ALDH18A1,0.6025645853717729,0.8992289042115801,78,15,68,Rest
21,ALG2,0.05164210382862147,0.928641568693261,15,9,6,Rest
22,ALG5,0.9665410223418138,0.9244881586917592,5,1,5,Rest
23,ALG6,0.6028484818927479,0.9296247877607839,19,9,14,Rest
24,ALG8,0.9126731022184734,0.9641104552363666,16,5,13,Rest
25,ALG12,0.7283034322484965,0.7136719962090239,19,0,19,Rest
26,ALKBH2,0.22276181090914207,,86,0,86,Rest
27,ALOX5,0.25296814040489607,,112,0,112,Rest
28,ALS2,0.8484936607529633,0.8892270968372531,28,0,28,Rest
29,AMIGO1,0.5275871928212637,0.2270716932478985,7,7,0,Rest
30,ANKRD40,0.22046055863482203,0.7459866677204804,20,20,1,Rest
31,ANKZF1,-0.006791409680725237,0.5414345840327118,327,327,2,Rest
32,ANP32B,0.6518241805461822,0.9160592511693741,20,20,1,Rest
33,APBB1IP,-0.15789440337951954,,9,9,0,Rest
34,APC,0.49366638236188165,0.8365642224798859,266,78,226,Rest
35,APEX1,0.9147314305608115,0.9812292255808752,14,9,10,Rest
36,APOBEC3B,0.6140001990482985,0.47007532403195595,65,0,65,Rest
37,APOBEC3G,-0.1698192619208115,0.3309612333241865,969,2,968,Rest
38,APPBP2,0.3205736963026256,0.8016280986264889,17,1,17,Rest
39,ARF1,0.1397734041886695,0.920220508104405,39,20,19,Rest
40,ARID2,0.6405682512627809,0.9212736949137655,5,3,3,Rest
41,ARIH1,0.6257710579891752,0.9091295884028527,40,39,2,Rest
42,ARL5B,0.2122058900849278,0.8070735294037897,34,33,3,Rest
43,ARMC8,0.2399186080637672,0.6577856564855418,17,2,16,Rest
44,ARNT,0.8420601284143232,0.8791112051746649,1016,964,155,Rest
45,ARPC2,0.5427631571973688,0.6895312436502085,39,3,37,Rest
46,ARPC3,0.6909540147685717,0.6923234870648574,73,1,73,Rest
47,ARPC4-TTLL3,0.956549731052803,0.9030906053832284,12,12,2,Rest
48,ATAD5,0.8525651521751353,0.8301742760060402,1740,575,1487,Rest
49,ATF4,0.6872661309962393,0.8407068872785972,67,7,61,Rest
50,ATF7IP2,-0.22069077114714072,,695,1,695,Rest
51,ATM,0.22960794588557418,0.8689471262845501,37,9,29,Rest
52,ATP1B3,0.4183398037895075,0.2485909102531037,132,5,129,Rest
53,ATP2A2,0.7560757020787457,0.8675834070762104,2677,1788,1832,Rest
54,ATP2B1,0.07812890165234139,0.7991519803540375,374,327,54,Rest
55,ATP5F1A,-0.2786392460701319,0.8566233222778075,40,15,29,Rest
56,ATP5ME,0.2348564545590124,0.8763249219770045,105,56,63,Rest
57,ATP5MF,0.2726802794128299,0.8242956048322027,40,12,32,Rest
58,ATP5PO,0.7677121022096993,0.9117609439285553,23,18,9,Rest
59,ATPAF2,0.6356432655209372,0.9468871285642009,19,3,16,Rest
60,ATRX,0.6183285684572364,0.9137866145121332,64,41,34,Rest
61,ATXN1L,-0.16866404530494394,,794,794,0,Rest
62,ATXN2L,0.7818793685242856,0.6529032828456636,48,1,48,Rest
63,ATXN7L3,0.8334614791888701,0.772172636073153,80,1,80,Rest
64,ATXN10,0.47304828471090365,0.7813804280993357,655,406,327,Rest
65,B3GAT1,0.19405605565738934,,20,0,20,Rest
66,B3GAT2,0.1718060223780049,,45,45,0,Rest
67,B4GALT7,0.7822137718056696,0.919979130322799,9,8,2,Rest
68,BAHD1,0.5732653020974414,0.9485377625106142,4,1,4,Rest
69,BBS10,0.25754219601076295,0.780576066652102,31,31,1,Rest
70,BCL3,0.6864443129662015,0.9211910121118217,9,7,2,Rest
71,BCS1L,0.8992623022808587,0.9475650041986603,24,14,13,Rest
72,BEX3,0.20248045694960476,0.8206624858011433,37,0,37,Rest
73,BHLHE40,0.7447541764630957,0.9109085640543146,97,39,71,Rest
74,BLZF1,0.1979736568653627,0.2736617761702796,1170,2,1170,Rest
75,BRAT1,0.9782142592775572,0.9526010069933033,4,0,4,Rest
76,BRD1,0.14401277840717705,0.8760006595745812,45,38,7,Rest
77,BRD7,0.877824631658337,0.9538716378351771,4,4,1,Rest
78,BRD8,0.5690320903224704,0.8451289337653469,733,418,436,Rest
79,BRD9,0.9232974153952271,0.9412878848725464,15,2,15,Rest
80,BRK1,0.7573862465377856,0.8051275631586463,66,2,65,Rest
81,BRMS1,0.7490661266032664,0.889756983432275,103,100,7,Rest
82,BRPF1,0.6461680453790479,0.8576426343581671,94,31,68,Rest
83,BTAF1,0.8290578281342357,0.9185419411686543,138,60,96,Rest
84,C1D,0.08867165166290406,0.6941379384189283,175,39,145,Rest
85,C1orf21,-0.048690915166781826,0.18190729702426012,2390,1,2390,Rest
86,C7orf55-LUC7L2,0.8635391735884409,0.9533196341965552,17,4,15,Rest
87,C8orf33,0.4586141396000147,0.6920548907608854,303,1,303,Rest
88,C9orf64,0.6989513703210012,0.6417904468799704,117,1,116,Rest
89,C16orf72,0.7333662054774674,0.9663501545107365,11,8,4,Rest
90,C16orf87,-0.03900565087063509,0.5652503275155861,109,108,2,Rest
91,C18orf32,0.7602159603417505,0.5449740114866639,3,3,1,Rest
92,CACHD1,0.42378940304586865,0.7281398758823842,81,2,79,Rest
93,CALHM6,-0.25273346392845647,,25,25,0,Rest
94,CAMSAP1,0.501164538169771,,23,23,0,Rest
95,CAND1,0.8711518848511742,0.911967533943805,90,19,83,Rest
96,CAP1,0.7808587703553791,0.8423618407716079,105,100,7,Rest
97,CARD6,0.9924608063447191,0.9434399068118609,3,3,1,Rest
98,CARM1,0.5986890172082593,0.9696094613880453,9,5,5,Rest
