index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,n_downstream
ENSG00000121410_Rest,A1BG,Rest,ENSG00000121410,530,734.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,1
ENSG00000121410_Stim48hr,A1BG,Stim48hr,ENSG00000121410,166,825.0,0,0,0,0.0,False,,False,no effect,no on-target KD,0
ENSG00000121410_Stim8hr,A1BG,Stim8hr,ENSG00000121410,645,753.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,1
ENSG00000175899_Rest,A2M,Rest,ENSG00000175899,127,366.0,56,66,122,0.0,False,,False,>10 DE genes,no on-target KD,122
ENSG00000175899_Stim48hr,A2M,Stim48hr,ENSG00000175899,415,236.0,32,13,45,0.0,False,,False,>10 DE genes,no on-target KD,45
ENSG00000175899_Stim8hr,A2M,Stim8hr,ENSG00000175899,178,292.0,67,97,164,0.0,False,,False,>10 DE genes,no on-target KD,164
ENSG00000094914_Rest,AAAS,Rest,ENSG00000094914,153,677.0,0,0,0,-2.724937639002662,False,30.96842337432218,False,no effect,no on-target KD,0
ENSG00000094914_Stim48hr,AAAS,Stim48hr,ENSG00000094914,360,844.0,0,1,1,-4.831815541000405,True,65.0488454570188,False,1 DE gene,on-target KD,0
ENSG00000094914_Stim8hr,AAAS,Stim8hr,ENSG00000094914,67,640.0,0,1,1,-4.530163880670439,True,46.65601227804028,False,1 DE gene,on-target KD,0
ENSG00000081760_Rest,AACS,Rest,ENSG00000081760,199,724.0,0,5,5,-10.1649483084568,True,21.10351218682376,False,2-10 DE genes,on-target KD,4
ENSG00000081760_Stim48hr,AACS,Stim48hr,ENSG00000081760,334,738.0,5,12,17,-15.4897623454999,True,60.89877898330028,False,>10 DE genes,on-target KD,16
ENSG00000081760_Stim8hr,AACS,Stim8hr,ENSG00000081760,34,591.0,1,8,9,-8.229439843040508,True,17.357955367078194,False,2-10 DE genes,on-target KD,8
ENSG00000103591_Rest,AAGAB,Rest,ENSG00000103591,619,647.0,1,2,3,-18.51272402815752,True,64.04412443499477,False,2-10 DE genes,on-target KD,2
